what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1264307511248
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264307528515
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264307531547
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264313370745
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264313371494
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264323787580
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264323791648
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264342274835
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264342313201
started,bundle,org.aspectj.ajde,1.6.7.20100105084524,"org.aspectj.ajde",1264342316554
started,bundle,org.eclipse.ajdt.core,2.0.2.e35x-20100105-0900,"org.eclipse.ajdt.core",1264342316570
started,bundle,org.eclipse.ajdt.ui,2.0.2.e35x-20100105-0900,"org.eclipse.ajdt.ui",1264342316726
started,bundle,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search",1264342316850
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264342323301
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264342323704
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1264342328457
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1264342328873
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1264342329002
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264342329933
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264342331969
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264342334546
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264342337567
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264342341239
opened,view,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit.ResultView",1264342342964
activated,view,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit.ResultView",1264342345316
