what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264226713289
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1264226765847
started,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1264226774896
opened,view,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui.views.AntView",1264226775003
activated,view,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui.views.AntView",1264226775076
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.views.showView",1264226775076
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264226778461
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264226785865
started,bundle,org.eclipse.ant.core,3.2.100.v20090520,"org.eclipse.ant.core",1264226785980
started,bundle,org.eclipse.pde.build,3.5.1.R35x_20090820,"org.eclipse.pde.build",1264226786884
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264226787199
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264226787202
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264226800211
closed,view,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui.views.AntView",1264226800223
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264226814113
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264226814844
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264226817330
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264226821243
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264226826858
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264226991148
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264226991697
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264226993404
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264226995870
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264227354388
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264227354409
