what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264167024614
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264167026940
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264167029999
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264167040421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264167044978
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264167207290
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264167207491
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264167207673
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264167210739
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264167214948
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1264167216861
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264167216901
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264167221909
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264167239167
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264167250732
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1264167261653
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264167296199
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264167317263
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264167333880
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264167451393
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264167473934
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1264167483356
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264167512672
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264167581193
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1264167649879
