what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214461369
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264214465422
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264214472529
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214476775
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214484973
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1264214494932
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214505596
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214769852
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214770405
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214771898
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214772586
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214773551
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264214774826
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214779640
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214847779
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264214856945
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1264214859349
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214870268
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214878095
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264214886204
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214908447
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214910994
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214912183
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214914393
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264214918234
