what,kind,bundleId,bundleVersion,description,time
started,bundle,org.springframework.ide.eclipse.webflow.core,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.webflow.core",1264301656238
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264301671097
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264301687360
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264301689154
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264301691789
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264301692069
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1264301692284
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264301697563
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264301699501
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264301700168
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264302317712
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264302320353
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264302321656
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264302322927
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264302324476
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264302325319
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264307488839
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264307491005
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264307492504
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264307493851
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264307496287
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1264307508391
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1264307510303
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1264307510812
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1264307511026
