what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264169465559
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1264169467619
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264169476291
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264169492862
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264169515786
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1264169518242
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1264169521447
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264169523859
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264169527364
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1264169541629
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1264169541753
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1264169555150
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1264169558458
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264169559917
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264169562889
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264169628967
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264169647248
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1264169656266
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264169665524
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264169668409
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264169675853
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1264169678525
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264169713095
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264169800743
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264169804340
