what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.springframework.ide.eclipse.webflow.ui,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.webflow.ui",1264258137074
stopped,bundle,org.springframework.ide.eclipse.webflow.ui.graph,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.webflow.ui.graph",1264258137074
stopped,bundle,org.springframework.ide.eclipse.webflow.ui.editor,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.webflow.ui.editor",1264258137074
stopped,bundle,org.springframework.ide.eclipse.webflow.core,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.webflow.core",1264258137074
stopped,bundle,org.springframework.ide.eclipse.beans.ui.editor,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.beans.ui.editor",1264258137074
stopped,bundle,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui",1264258137110
stopped,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1264258137110
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.ide.ant",1264258137110
stopped,bundle,org.eclipse.ajdt.mylyn.ui,2.0.2.e35x-20100105-0900,"org.eclipse.ajdt.mylyn.ui",1264258137110
stopped,bundle,org.eclipse.ajdt.ui,2.0.2.e35x-20100105-0900,"org.eclipse.ajdt.ui",1264258137110
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090731,"org.eclipse.pde.runtime",1264258137110
stopped,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1264258137142
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1264258137265
stopped,bundle,org.eclipse.mylyn.java.tasks,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.java.tasks",1264258137266
stopped,bundle,org.eclipse.mylyn.java.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.java.ui",1264258137266
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1264258137311
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1264258137311
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1264258137311
stopped,bundle,org.eclipse.contribution.visualiser,2.2.0.e35x-20100105-0900,"org.eclipse.contribution.visualiser",1264258137311
stopped,bundle,org.eclipse.ajdt.examples,2.0.2.e35x-20100105-0900,"org.eclipse.ajdt.examples",1264258137311
stopped,bundle,org.springframework.ide.eclipse.beans.ui.autowire,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.beans.ui.autowire",1264258137311
stopped,bundle,org.springframework.ide.eclipse.beans.core.autowire,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.beans.core.autowire",1264258137311
stopped,bundle,org.springframework.ide.eclipse.beans.ui.graph,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.beans.ui.graph",1264258137311
stopped,bundle,org.springframework.ide.eclipse.beans.ui.search,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.beans.ui.search",1264258137311
stopped,bundle,org.springframework.ide.eclipse.beans.ui,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.beans.ui",1264258137311
