what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1264166856543
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166856863
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264166860533
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166877626
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166882656
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166888079
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.move.element",1264166903700
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166903766
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166909385
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.move.element",1264166914987
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166915075
activated,editor,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1264166921309
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166925185
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166941849
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1264166943428
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1264166954863
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1264166955298
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.redo",1264166956923
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.redo",1264166957498
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1264166979286
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1264166979465
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1264166979630
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1264166979769
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1264166979917
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1264166980076
