what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264169871008
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264169894533
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264171100339
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264171107952
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.copy.qualified.name",1264171199888
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1264171205166
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.copy.qualified.name",1264171223067
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1264171290494
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264171292356
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1264171301235
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264171301264
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264171303051
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264171303317
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264171309802
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264171312553
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1264171331634
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264171339417
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1264171344880
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264171344913
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264171346694
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264171372653
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264171423870
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264171427327
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264171449369
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1264171454962
