what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui",1264245163598
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20090520-1800,"org.eclipse.equinox.http.jetty",1264245163899
started,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1264245164100
started,bundle,org.eclipse.equinox.http.registry,1.0.200.v20090520-1800,"org.eclipse.equinox.http.registry",1264245164654
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.helpContents",1264245165922
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1264245165938
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20090520-1800,"org.eclipse.equinox.jsp.jasper",1264245165996
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264245166032
started,bundle,org.eclipse.help.webapp,3.4.0.v20090429_1800,"org.eclipse.help.webapp",1264245168624
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264245229325
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264245236564
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.tipsAndTricksAction",1264245239130
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264245239246
started,bundle,org.eclipse.ui.cheatsheets,3.3.200.v20090526,"org.eclipse.ui.cheatsheets",1264245243133
started,bundle,org.eclipse.ui.intro,3.3.0.v20090526,"org.eclipse.ui.intro",1264245243250
opened,view,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui.HelpView",1264245243324
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1264245243515
activated,view,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui.HelpView",1264245243956
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.help.dynamicHelp",1264245244078
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1264245244286
activated,view,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui.HelpView",1264245263352
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1264245273029
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.showInformation",1264245294976
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264245295029
opened,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavadocView",1264245304460
