what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166354309
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166367487
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166373341
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166377048
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166416490
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166423345
started,bundle,org.aspectj.ajde,1.6.7.20100105084524,"org.aspectj.ajde",1264166427375
started,bundle,org.eclipse.ajdt.core,2.0.2.e35x-20100105-0900,"org.eclipse.ajdt.core",1264166427473
started,bundle,org.eclipse.ajdt.ui,2.0.2.e35x-20100105-0900,"org.eclipse.ajdt.ui",1264166427863
started,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.beans.ui.refactoring",1264166427879
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1264166428069
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166428101
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166439167
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1264166441439
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166441454
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166442951
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166460054
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166464706
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264166477685
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1264166477831
started,bundle,org.springframework.ide.eclipse.webflow.core,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.webflow.core",1264166477891
started,bundle,org.springframework.ide.eclipse.webflow.ui,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.webflow.ui",1264166477901
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1264166479909
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264166479973
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264166480273
